created_at,tweet_id,query,coordinates,coordinates_type,country_code,place_full_name,retweet_count,text,in_reply_to_status_id_str,is_quote_status,tweet_favorite_count,user_description,user_fovourites_count,followers_count,friends_count,user_profile_location,time_zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 05:08:47 +0000 2016,7.82E+17,soylent,,,,,0,@4danlopez @soylent @FedExHelp @FedEx thanks.,7.82E+17,FALSE,0,"Senior PR Manager for @CheetahMobile | @twitter, tech, media + news obsessed. north dakotan, Ex, @bnonews, @oratv He/him",,51507,4860,"San Francisco, CA ",Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 05:07:34 +0000 2016,7.82E+17,soylent,,,,,3,"RT @tweetbrk: .@soylent to be clear, have tried drink &amp; bars from friends, but @fmanjoo's tweeting inspired me to order. y'all shld give hi\u2026",,FALSE,0,"Keep your heels, head and standards high.",,19,1325,Chicago,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 04:57:36 +0000 2016,7.82E+17,soylent,,,,,6,RT @tweetbrk: someone stole my first ever @soylent order from the front porch where @fedexhelp left it. I really hate @fedex. they fuck up\u2026,,FALSE,0,,,25,1132,Chicago,International Date Line West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 04:54:18 +0000 2016,7.82E+17,soylent,,,,,6,RT @tweetbrk: someone stole my first ever @soylent order from the front porch where @fedexhelp left it. I really hate @fedex. they fuck up\u2026,,FALSE,0,Mi armonia conmigo misma,,594,1379,"Pichincha, Ecuador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 04:53:28 +0000 2016,7.82E+17,soylent,,,,,3,".@soylent to be clear, have tried drink &amp; bars from friends, but @fmanjoo's tweeting inspired me to order. y'all shld give him a good coupon",7.82E+17,FALSE,4,"Senior PR Manager for @CheetahMobile | @twitter, tech, media + news obsessed. north dakotan, Ex, @bnonews, @oratv He/him",,51507,4860,"San Francisco, CA ",Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 04:53:21 +0000 2016,7.82E+17,soylent,,,,,6,RT @tweetbrk: someone stole my first ever @soylent order from the front porch where @fedexhelp left it. I really hate @fedex. they fuck up\u2026,,FALSE,0,"Public Policy Activist, AmericaFirst",,3450,1151,"Brisbane, Queensland",Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 04:52:53 +0000 2016,7.82E+17,soylent,,,,,6,someone stole my first ever @soylent order from the front porch where @fedexhelp left it. I really hate @fedex. they fuck up everything tbh.,,FALSE,6,"Senior PR Manager for @CheetahMobile | @twitter, tech, media + news obsessed. north dakotan, Ex, @bnonews, @oratv He/him",,51507,4860,"San Francisco, CA ",Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 01:04:21 +0000 2016,7.82E+17,soylent,,,,,1,RT @keanerie: the soylent review the world has been waiting for https://t.co/uZzMHdifvx,,FALSE,0,"Featured Contributor at GameSkinny, David Bowie connoisseur, and lover of cheap Mexican food.",,40,124,"Norman, OK",Central Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct 01 00:46:43 +0000 2016,7.82E+17,soylent,,,,,0,@ffffrances Soylent,7.82E+17,FALSE,0,Producer / Current Owner of @differentfur / Mixer: Toro y Moi - K.Flay - Beat Connection - Silva - GRMLN - Wove - Morning Benders + many many more...,,1179,1102,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 30 19:12:49 +0000 2016,7.82E+17,soylent,,,,,1,Missed opportunity for Soylent tie-in. https://t.co/YcqM8VQwKt,,TRUE,16,Partner @SocialCapital. Formerly @BoxHQ. Come @ me.,,13318,1121,San Francisco,Pacific Time (US & Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
